SG_UF,DT_SIN_PRI,count
AP,2020-03-01,1
AP,2020-03-09,1
AP,2020-03-10,1
AP,2020-03-14,1
AP,2020-03-16,1
AP,2020-03-18,2
AP,2020-03-20,2
AP,2020-03-22,1
AP,2020-03-23,1
AP,2020-03-24,1
AP,2020-03-25,1
AP,2020-03-26,3
AP,2020-03-27,4
AP,2020-03-28,2
AP,2020-03-29,3
AP,2020-03-30,1
AP,2020-03-31,2
AP,2020-04-01,4
AP,2020-04-02,4
AP,2020-04-04,2
AP,2020-04-06,2
AP,2020-04-09,4
AP,2020-04-10,6
AP,2020-04-11,2
AP,2020-04-12,2
AP,2020-04-15,4
AP,2020-04-16,6
AP,2020-04-17,7
AP,2020-04-18,4
AP,2020-04-19,14
AP,2020-04-20,9
AP,2020-04-21,5
AP,2020-04-22,7
AP,2020-04-23,14
AP,2020-04-24,15
AP,2020-04-25,15
AP,2020-04-26,16
AP,2020-04-27,11
AP,2020-04-28,10
AP,2020-04-29,12
AP,2020-04-30,16
AP,2020-05-01,32
AP,2020-05-02,18
AP,2020-05-03,20
AP,2020-05-04,17
AP,2020-05-05,24
AP,2020-05-06,11
AP,2020-05-08,20
AP,2020-05-09,15
AP,2020-05-10,30
AP,2020-05-11,21
AP,2020-05-12,18
AP,2020-05-13,11
AP,2020-05-14,19
